Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Prerequisites
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,"Basic IT Knowledge, Networking Fundamentals, Cryptography"
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,"Statistics, Probability Theory, Research Methodology"
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,"Python, Linear Algebra, Basic Machine Learning"
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,"Analytical Thinking, Basic Legal Knowledge, Research Skills"
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,"Interest in Psychology, Emotional Awareness, Open-mindedness"
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,"Python, Machine Learning, Neural Networks"
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,"Python, Machine Learning, Neural Networks"
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,"Python, Machine Learning, Neural Networks"
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,"Python, Machine Learning, Neural Networks"
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,"Python, Machine Learning, Neural Networks"
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,"Python, Machine Learning, Neural Networks"
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,"Basic IT Knowledge, Networking Fundamentals, Cryptography"
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,"Basic Analytical Skills, Logical Reasoning, Curiosity"
